hum,weathersit,holiday,season,atemp,temp,hr,week,cnt
0.42,2,0,1,0.5,0.52,13,4,111
0.72,1,0,2,0.45,0.46,3,5,14
0.69,2,0,2,0.61,0.62,20,1,218
0.26,1,0,3,0.74,0.86,13,4,236
0.34,1,0,1,0.17,0.2,13,0,75
0.65,1,0,1,0.23,0.24,3,6,7
0.25,1,0,1,0.15,0.2,14,5,62
0.75,1,0,4,0.32,0.3,5,6,3
1.0,3,0,2,0.29,0.32,21,3,22
0.33,1,0,1,0.27,0.32,18,0,184
0.67,2,0,4,0.42,0.42,6,0,9
0.54,2,0,3,0.67,0.72,3,1,5
0.44,2,0,1,0.03,0.02,6,6,2
0.71,3,0,4,0.3,0.34,5,4,22
0.63,1,0,4,0.48,0.5,22,6,221
0.74,1,0,3,0.7,0.72,23,2,95
0.66,1,0,3,0.76,0.78,4,0,13
0.77,1,0,1,0.48,0.5,23,6,185
0.88,3,0,3,0.55,0.6,9,3,190
0.83,1,0,3,0.61,0.66,5,5,37
0.83,2,0,3,0.58,0.64,6,6,38
0.79,2,0,3,0.64,0.68,19,6,237
0.55,1,0,1,0.26,0.22,0,4,11
0.55,3,0,2,0.23,0.22,2,0,21
0.31,1,0,2,0.45,0.46,2,1,6
0.46,1,0,4,0.55,0.58,15,2,188
0.25,1,0,1,0.33,0.34,16,1,221
0.48,2,0,1,0.23,0.26,5,0,2
0.56,1,0,1,0.26,0.26,23,0,64
0.81,3,0,1,0.33,0.32,21,2,55
0.52,2,0,3,0.7,0.76,14,3,255
0.37,1,0,2,0.53,0.56,21,1,151
0.94,3,0,3,0.55,0.62,22,3,29
0.76,1,1,1,0.33,0.32,12,2,114
0.55,1,0,1,0.21,0.18,23,1,12
0.86,3,0,1,0.21,0.18,9,5,101
0.78,1,0,3,0.59,0.64,1,5,19
0.42,1,0,1,0.15,0.12,23,4,34
0.46,2,0,1,0.12,0.14,14,3,75
0.78,2,0,3,0.59,0.64,6,6,30
0.4,1,0,2,0.41,0.4,23,5,116
0.64,1,0,1,0.2,0.18,7,2,128
0.62,2,0,2,0.68,0.72,22,6,161
0.94,2,0,1,0.42,0.42,5,6,8
0.81,1,0,4,0.38,0.36,1,0,44
0.37,1,0,2,0.38,0.36,6,0,28
0.43,1,0,1,0.18,0.18,7,3,88
0.39,1,0,1,0.29,0.3,14,6,118
0.87,1,0,4,0.41,0.4,3,2,4
0.59,1,0,1,0.21,0.2,21,5,47
0.87,2,0,4,0.36,0.34,4,0,11
1.0,2,0,2,0.47,0.48,4,4,6
0.65,1,0,1,0.26,0.26,1,1,6
0.87,3,0,4,0.29,0.3,16,2,98
0.93,3,0,2,0.23,0.24,4,4,2
0.62,2,0,4,0.39,0.38,22,6,106
0.52,1,0,4,0.52,0.54,1,0,142
0.29,1,0,2,0.7,0.8,15,1,165
0.6,1,0,2,0.23,0.24,0,5,18
0.65,1,0,1,0.26,0.26,19,0,55
0.61,1,0,1,0.3,0.3,14,0,243
0.67,1,0,4,0.47,0.48,19,0,139
0.83,1,0,3,0.56,0.6,6,5,76
0.75,2,0,4,0.24,0.26,0,3,23
0.81,1,0,1,0.23,0.26,5,2,2
0.54,1,0,4,0.62,0.66,10,5,260
0.87,2,1,1,0.21,0.24,19,1,49
0.94,3,0,4,0.45,0.46,10,2,50
0.67,1,0,4,0.42,0.42,4,2,7
0.7,2,0,1,0.24,0.24,2,6,19
0.72,1,0,4,0.44,0.44,20,0,144
0.94,3,0,2,0.45,0.46,13,6,58
0.57,1,1,4,0.36,0.36,10,4,219
0.94,2,0,4,0.55,0.62,5,5,22
0.8,1,0,1,0.23,0.22,4,1,1
0.88,2,0,3,0.52,0.54,6,2,72
0.47,1,0,4,0.44,0.44,14,5,201
0.72,1,0,4,0.44,0.44,1,2,13
0.39,1,0,4,0.27,0.32,2,6,32
0.72,1,0,2,0.48,0.5,4,0,13
0.93,3,0,1,0.24,0.22,10,6,166
0.47,1,0,1,0.23,0.22,1,0,20
0.53,2,0,1,0.62,0.6,23,5,86
